what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1353523566057
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1353523566057
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1353523566057
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1353523566058
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1353523566142
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1353523566143
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1353523566186
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1353523566187
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1353523566188
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1353523566189
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1353523566190
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1353523566290
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1353523566292
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1353523566294
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1353523566295
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1353523566295
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1353523566296
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1353523566315
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1353523566317
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1353523566318
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1353523566319
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1353523566321
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1353523566321
os,sysinfo,,,"win32",1353523566327
arch,sysinfo,,,"x86_64",1353523566327
ws,sysinfo,,,"win32",1353523566327
locale,sysinfo,,,"en_IN",1353523566327
processors,sysinfo,,,"4",1353523566327
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1353523566327
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1353523566327
java.specification.name,sysinfo,,,"Java Platform API Specification",1353523566327
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1353523566327
java.specification.version,sysinfo,,,"1.6",1353523566327
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1353523566327
java.version,sysinfo,,,"1.6.0_31",1353523566327
java.vm.info,sysinfo,,,"mixed mode",1353523566327
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1353523566327
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1353523566327
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1353523566327
java.vm.specification.version,sysinfo,,,"1.0",1353523566327
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1353523566327
java.vm.version,sysinfo,,,"20.6-b01",1353523566327
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1353523566487
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1353523566504
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1353523579675
started,bundle,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms",1353523580527
started,bundle,org.python.pydev.core,1.6.5.2011020317,"org.python.pydev.core",1353523580791
started,bundle,org.python.pydev.debug,1.6.5.2011020317,"org.python.pydev.debug",1353523580851
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1353523580852
