what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1353501857649
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1353501860699
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353501863127
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353501871216
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353501894256
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353501897520
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353501926103
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353502205296
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1353502205325
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353502238171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353502241331
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353502241474
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353502266080
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353502271559
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353502605134
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353502617809
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353502783078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353502813331
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353502840392
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353502971016
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353502992858
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353502996484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353503001370
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353503016760
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353503024281
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353503029868
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353503039373
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353503287506
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353503522433
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353503565380
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353503596055
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1353503604689
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353503612047
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353503613233
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353503739597
