what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529040977
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529053486
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1353529070238
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529080943
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1353529088577
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353529089882
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529097864
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529103728
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529117600
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529140203
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529145844
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529153986
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529162107
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529193837
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529203842
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529223359
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529235505
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529264147
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529280026
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529399173
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529413423
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1353529422075
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353529427461
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529456079
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529476431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529488814
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529489738
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529490512
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529515157
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1353529517914
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1353529548038
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529549486
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529625532
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529627542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529641265
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529649997
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529663902
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529671749
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1353529693402
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353529694517
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353529696692
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529700834
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529705522
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529708627
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529721613
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529729219
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529731407
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529772713
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1353529791959
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353529793766
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529797531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529800785
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529812194
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529825196
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529856010
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529857669
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529858487
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529858902
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529865089
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353529875496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529878713
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529883162
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529886849
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529888298
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529888967
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353529889926
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1353529967046
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1353530000252
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353530002473
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353530008382
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353530022976
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353530039348
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353530048495
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353530079141
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353530094373
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353530162787
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353530171405
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1353530208517
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353530211917
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1353530254052
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353530256811
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353530260678
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1353530268460
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353530285176
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1353530297414
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353530309166
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353530321588
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353530336050
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1353530343881
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353530345452
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353530358010
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1353530434933
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353530437999
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353530448435
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1353530459775
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353530462065
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353530462996
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353530467866
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353530516904
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353530521371
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353530533588
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1353530543304
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353530566567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353530588300
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1353530625633
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353530640983
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1353530688178
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353530697854
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353530699729
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353530707813
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353530708738
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353530711348
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1353530733861
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353530735678
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353530741890
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1353530746412
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353530748514
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353530763609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353530792936
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353530797682
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353530798038
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353530798771
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1353530811549
